anio mes dia dia_semana hora_inicio hora_fin actividad_base modalidad centro plazas ocupadas libres tipo_actividad
2026 1 31 sabado 10:00 10:30 matronatacion ninguna Las_Cruces 8 7 1 actividad_dirigida
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Luis_Aragones 64 10 54 uso_libre
2026 1 31 sabado 10:00 11:30 sala_multitrabajo ninguna Luis_Aragones 35 35 0 uso_libre
2026 1 31 sabado 10:00 11:00 uso_de vaso_ensenanza Luis_Aragones 12 0 12 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Margot_Moles 10 2 8 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Margot_Moles 50 9 41 uso_libre
2026 1 31 sabado 10:00 11:00 uso_de vaso_ensenanza Margot_Moles 10 0 10 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Marques_de_Samaranch 24 24 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre calles_lateral Marques_de_Samaranch 8 8 0 uso_libre
2026 1 31 sabado 10:00 11:00 pilates ninguna Marques_de_Samaranch 20 20 0 actividad_dirigida
2026 1 31 sabado 10:00 11:30 uso_sala_musculacion ninguna Marques_de_Samaranch 30 30 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Moratalaz 20 11 9 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Moratalaz 40 19 21 uso_libre
2026 1 31 sabado 10:00 11:30 uso_sala_multitrabajo ninguna Moratalaz 20 20 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Orcasitas 60 21 39 uso_libre
2026 1 31 sabado 10:00 11:00 uso_pista_atletismo ninguna Orcasitas 75 6 69 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre bordillo Palomeras 8 6 2 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre calles_central Palomeras 30 11 19 uso_libre
2026 1 31 sabado 10:00 11:00 uso_pista_atletismo ninguna Palomeras 50 11 39 uso_libre
2026 1 31 sabado 10:00 11:00 uso vaso_ensenanza Palomeras 10 7 3 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Plata_y_Castanar 15 7 8 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Plata_y_Castanar 15 4 11 uso_libre
2026 1 31 sabado 10:00 11:00 uso_de vaso_ensenanza Plata_y_Castanar 8 1 7 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Playa_Victoria 20 11 9 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Playa_Victoria 40 14 26 uso_libre
2026 1 31 sabado 10:00 12:00 autoproteccion_para_las_mujeres ninguna Pradillo 18 10 8 actividad_dirigida
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Pueblo_Nuevo 40 0 40 uso_libre
2026 1 31 sabado 10:00 11:00 uso vaso_ensenanza Pueblo_Nuevo 20 0 20 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna San_Blas 12 9 3 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna San_Blas 12 3 9 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna San_Blas 12 2 10 uso_libre
2026 1 31 sabado 10:00 10:45 uso_sauna ninguna San_Cristobal 6 5 1 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna San_Juan_Bautista 80 30 50 uso_libre
2026 1 31 sabado 10:00 11:30 uso_sala_multitrabajo ninguna San_Juan_Bautista 18 18 0 uso_libre
2026 1 31 sabado 10:00 11:30 uso_sala_multitrabajo ninguna Torrespana 6 6 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre calles_central Triangulo_de_Oro 40 13 27 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre calles_bordillo Triangulo_de_Oro 20 10 10 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Wilfred_Agbonavbare 60 14 46 uso_libre
2026 1 31 sabado 10:00 11:30 uso_sala_musculacion ninguna Wilfred_Agbonavbare 25 25 0 uso_libre
2026 1 31 sabado 10:15 10:45 matronatacion ninguna Antonio_Diaz_Miguel 8 6 2 actividad_dirigida
2026 1 31 sabado 10:15 11:00 natacion_acondicionamiento ninguna El_Espinillo 15 4 11 actividad_dirigida
2026 1 31 sabado 10:15 11:00 barcas_estanque_del_retiro ninguna Estanque_del_Retiro 15 0 15 barca_de_recreo
2026 1 31 sabado 10:15 11:00 ciclo_sala ninguna Gallur 20 20 0 actividad_dirigida
2026 1 31 sabado 10:15 11:00 gimnasia_acuatica ninguna Gallur 25 25 0 actividad_dirigida
2026 1 31 sabado 10:15 11:45 uso_sala_musculacion ninguna Gallur 10 10 0 uso_libre
2026 1 31 sabado 10:15 10:45 matronatacion ninguna La_Almudena 8 8 0 actividad_dirigida
2026 1 31 sabado 10:15 11:15 nado_libre ninguna Las_Cruces 40 25 15 uso_libre
2026 1 31 sabado 10:15 10:45 matronatacion ninguna Raul_Gonzalez 4 0 4 actividad_dirigida
2026 1 31 sabado 10:30 11:00 prueba_de_nivel_natacion ninguna Alfredo_Goyeneche 3 0 3 prueba_de_nivel
2026 1 31 sabado 10:30 12:00 calistenia ninguna Barajas 15 0 15 actividad_dirigida
2026 1 31 sabado 10:30 11:30 nado_libre calles_central Barajas 16 16 0 uso_libre
